Make,Model,Number.of.Engines,Total.Fatalities,Total.Uninjured,Publication.Date,Aircraft.damage_Destroyed,Aircraft.damage_Minor,Aircraft.damage_Substantial,Total.Injuries,total.inj.or.killed,Percent.Injured.or.Killed,Passenger.Capacity.Tier
CESSNA,401B,2.0,0.0,2.0,1/1/1982,False,False,True,0.0,0.0,0.0,private plane
CESSNA,414,2.0,8.0,0.0,3/1/1983,True,False,False,0.0,8.0,1.0,private plane
BEECH,BE-58,2.0,1.0,0.0,3/1/1983,True,False,False,0.0,1.0,1.0,private plane
PIPER,PA-34,2.0,2.0,0.0,4/1/1983,True,False,False,0.0,2.0,1.0,private plane
CESSNA,Skymaster,2.0,2.0,0.0,4/1/1983,True,False,False,2.0,4.0,1.0,private plane
PIPER,PA-31,2.0,2.0,0.0,5/1/1983,True,False,False,0.0,2.0,1.0,private plane
CESSNA,A340,2.0,0.0,3.0,6/1/1983,False,False,True,0.0,0.0,0.0,
PIPER,PA-34,2.0,0.0,3.0,9/1/1983,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-23,2.0,0.0,0.0,10/1/1983,True,False,False,2.0,2.0,1.0,private plane
PIPER,PA-23,2.0,0.0,2.0,10/1/1983,True,False,False,0.0,0.0,0.0,private plane
CESSNA,310L,2.0,0.0,1.0,11/1/1983,False,False,True,0.0,0.0,0.0,
EMBRAER,EMB110,2.0,0.0,2.0,12/1/1983,False,True,False,0.0,0.0,0.0,private plane
CESSNA,414,2.0,0.0,0.0,12/1/1983,True,False,False,3.0,3.0,1.0,private plane
PIPER,PA-31,2.0,0.0,2.0,13-01-1983,False,False,True,0.0,0.0,0.0,private plane
BEECH,C45,2.0,0.0,2.0,15-01-1983,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-31,2.0,1.0,0.0,17-01-1983,True,False,False,0.0,1.0,1.0,private plane
PIPER,PA-31,2.0,0.0,0.0,17-01-1983,True,False,False,3.0,3.0,1.0,private plane
BEECH,F50,2.0,2.0,0.0,17-01-1983,True,False,False,0.0,2.0,1.0,private plane
PIPER,AEROSTAR 601P,2.0,0.0,2.0,19-01-1983,False,False,True,0.0,0.0,0.0,private plane
CESSNA,A340,2.0,0.0,2.0,19-01-1983,False,False,True,0.0,0.0,0.0,
PIPER,PA-31,2.0,0.0,2.0,20-01-1983,False,True,False,0.0,0.0,0.0,private plane
BEECH,58,2.0,2.0,0.0,20-01-1983,True,False,False,0.0,2.0,1.0,private plane
PIPER,PA-23,2.0,1.0,0.0,20-01-1983,True,False,False,0.0,1.0,1.0,private plane
CESSNA,402,2.0,1.0,0.0,21-01-1983,True,False,False,0.0,1.0,1.0,private plane
PIPER,PA-23,2.0,0.0,0.0,21-01-1983,True,False,False,3.0,3.0,1.0,private plane
PIPER,PA-34,2.0,0.0,3.0,23-01-1983,False,False,True,0.0,0.0,0.0,private plane
CESSNA,A340,2.0,0.0,2.0,28-01-1983,False,False,True,0.0,0.0,0.0,
BEECH,B200,2.0,0.0,2.0,29-01-1983,False,False,False,0.0,0.0,0.0,private plane
BEECH,99,2.0,0.0,0.0,1/2/1983,True,False,False,7.0,7.0,1.0,private plane
PIPER,PA-23,2.0,1.0,0.0,2/2/1983,True,False,False,0.0,1.0,1.0,private plane
PIPER,PA-31,2.0,0.0,0.0,6/2/1983,True,False,False,2.0,2.0,1.0,private plane
BEECH,200,2.0,0.0,10.0,9/2/1983,False,False,False,0.0,0.0,0.0,private plane
CESSNA,310R,2.0,0.0,2.0,9/2/1983,False,False,True,0.0,0.0,0.0,
CESSNA,402,2.0,0.0,1.0,9/2/1983,False,False,True,0.0,0.0,0.0,private plane
CESSNA,310,2.0,0.0,0.0,10/2/1983,True,False,False,2.0,2.0,1.0,
BEECH,C55,2.0,2.0,0.0,10/2/1983,True,False,False,0.0,2.0,1.0,private plane
CESSNA,421,2.0,0.0,2.0,10/2/1983,False,False,True,0.0,0.0,0.0,private plane
CESSNA,401,2.0,0.0,5.0,10/2/1983,False,False,True,0.0,0.0,0.0,private plane
CESSNA,421,2.0,2.0,0.0,11/2/1983,True,False,False,0.0,2.0,1.0,private plane
PIPER,PA-34,2.0,1.0,0.0,13-02-1983,True,False,False,0.0,1.0,1.0,private plane
BOEING,737,2.0,0.0,119.0,15-02-1983,False,True,False,0.0,0.0,0.0,large airliner
CESSNA,310D,2.0,0.0,2.0,15-02-1983,True,False,False,0.0,0.0,0.0,
PIPER,PA-23,2.0,1.0,0.0,15-02-1983,True,False,False,0.0,1.0,1.0,private plane
PIPER,PA-31,2.0,0.0,2.0,15-02-1983,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-31,2.0,8.0,0.0,16-02-1983,True,False,False,0.0,8.0,1.0,private plane
BEECH,90,2.0,0.0,4.0,16-02-1983,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-23,2.0,0.0,6.0,17-02-1983,False,False,True,0.0,0.0,0.0,private plane
EMBRAER,EMB110,2.0,0.0,16.0,18-02-1983,False,True,False,0.0,0.0,0.0,private plane
